iteration,super_time,super_memory,super_cpu,super_results,seq_total_time,seq_combination_time,seq_final_time,seq_results,par_query_time,par_combination_time,par_total_time,par_results
1,15.674583,2.8611831665039062,31.418,0,6.633542,1.5474356952739663,8.180977695273967,18,4.27825,1.2166556442690042,5.494905644269004,18
2,5.124042,1.8727569580078125,20.813,0,4.710249999999999,1.2938383750345384,6.004088375034538,18,3.339667,1.0808931182175128,4.420560118217512,18
3,4.091417,1.9160537719726562,20.014,0,3.5097490000000002,1.826609557707487,5.336358557707487,18,3.048,2.388028399259338,5.436028399259338,18
4,4.527667,1.8259353637695312,19.672,0,3.070958,2.2391989286196585,5.310156928619659,18,2.534084,2.466925818776159,5.00100981877616,18
5,5.158208,1.7575759887695312,21.789,0,3.029833,2.3323676210808255,5.3622006210808255,18,2.456167,1.2119671532909786,3.668134153290979,18
6,2.982,1.9097976684570312,9.946,0,4.048042,2.262640785570579,6.310682785570579,18,2.4445,1.3854741509508623,3.8299741509508625,18
7,3.730084,1.998565673828125,17.49,0,3.8481240000000003,2.349034626409181,6.197158626409181,18,2.53375,2.1648730718767464,4.698623071876746,18
8,4.269917,1.8216781616210938,18.474,0,2.844291,1.1288481725331323,3.9731391725331324,18,2.382583,2.4989645198560178,4.881547519856017,18
9,4.896167,1.8826446533203125,22.506,0,3.194626,1.827318859600927,5.021944859600927,18,2.303625,1.895569011258609,4.199194011258609,18
10,4.4535,1.7707290649414062,19.172,0,2.8685419999999997,1.1891163366432127,4.057658336643213,18,2.31425,1.6583444090354336,3.9725944090354335,18